lemma	pos	#_semcor	#_omsti	#_omsti_sample
second	n	150	0	0
trial_court	n	1	0	0
sector	n	14	0	0
last_word	n	0	0	0
value	n	133	0	0
recrimination	n	2	0	0
deal	n	49	0	0
nicaragua	n	0	0	0
chairman	n	11	0	0
age	n	143	0	0
interest	n	153	0	0
hymn	n	5	0	0
economist	n	4	0	0
figure	n	378	0	0
problem	n	208	0	0
euro	n	0	0	0
drop	n	20	0	0
delegate	n	1	0	0
legal_fraud	n	0	0	0
spain	n	2	0	0
amount	n	143	0	0
transmission	n	7	0	0
petition	n	19	0	0
guest	n	25	0	0
plan	n	186	0	0
appearance	n	22	0	0
mortgage-backed_security	n	0	0	0
growth	n	85	0	0
latin_america	n	3	0	0
bacterium	n	3	0	0
round	n	18	0	0
work	n	234	0	0
united_nations	n	5	0	0
output	n	12	0	0
success	n	65	0	0
participant	n	21	0	0
camera	n	23	0	0
consensus	n	3	0	0
plumber	n	3	0	0
court	n	55	0	0
regulation	n	27	0	0
percent	n	93	0	0
debate	n	20	0	0
germany	n	11	0	0
panama	n	4	0	0
intensity	n	42	0	0
fee	n	11	0	0
change	n	116	0	0
lead	n	30	0	0
disadvantage	n	3	0	0
restriction	n	9	0	0
mandate	n	6	0	0
carbon	n	6	0	0
mortgage	n	4	0	0
nitrogen	n	5	0	0
decade	n	36	0	0
candidate	n	26	0	0
crisis	n	13	0	0
rule	n	74	0	0
suit	n	36	0	0
life	n	253	0	0
act	n	75	0	0
indetermination	n	1	0	0
study	n	237	0	0
people	n	288	0	0
europe	n	28	0	0
average	n	16	0	0
applause	n	11	0	0
developing_country	n	0	0	0
november	n	31	0	0
assumption	n	30	0	0
narrow_margin	n	0	0	0
football_player	n	1	0	0
season	n	55	0	0
confidence	n	24	0	0
big_league	n	9	0	0
question	n	143	0	0
sulfur	n	1	0	0
photograph	n	20	0	0
honor	n	25	0	0
controversy	n	24	0	0
history	n	119	0	0
policy	n	62	0	0
benefit	n	32	0	0
race	n	18	0	0
official	n	26	0	0
canon	n	10	0	0
visit	n	23	0	0
announcement	n	12	0	0
heading	n	2	0	0
evidence	n	88	0	0
france	n	10	0	0
